ticker,name,market,date,시가,종가
153490,우리이앤엘하루틴,KOSDAQ,20260811,0,405
153710,옵티팜,KOSDAQ,20260811,4850,4730
153890,져스텍,KOSDAQ,20260811,9590,10580
154030,아시아종묘,KOSDAQ,20260811,1697,1669
154040,다산솔루에타,KOSDAQ,20260811,1003,1005
155650,와이엠씨,KOSDAQ,20260811,3145,3155
156100,엘앤케이바이오,KOSDAQ,20260811,3950,3970
158430,아톤,KOSDAQ,20260811,4550,4570
159010,아스플로,KOSDAQ,20260811,20100,21700
159580,제로투세븐,KOSDAQ,20260811,2225,2215
159910,에코글로우,KOSDAQ,20260811,3335,3220
160190,하이젠알앤엠,KOSDAQ,20260811,19590,19450
160550,NEW,KOSDAQ,20260811,1039,1064
160980,싸이맥스,KOSDAQ,20260811,32100,32300
161580,필옵틱스,KOSDAQ,20260811,27200,28650
162300,신스틸,KOSDAQ,20260811,1998,1915
163280,에어레인,KOSDAQ,20260811,3240,3300
163730,핑거,KOSDAQ,20260811,10200,10170
166090,하나머티리얼즈,KOSDAQ,20260811,59000,63300
166480,코아스템켐온,KOSDAQ,20260811,2295,2285
168330,내츄럴엔도텍,KOSDAQ,20260811,1934,1940
168360,펨트론,KOSDAQ,20260811,11940,12380
169330,엠브레인,KOSDAQ,20260811,1262,1268
170030,현대공업,KOSDAQ,20260811,4970,5010
170790,파이오링크,KOSDAQ,20260811,8690,8810
170920,엘티씨,KOSDAQ,20260811,40200,41350
171010,램테크놀러지,KOSDAQ,20260811,2855,2890
171090,선익시스템,KOSDAQ,20260811,69200,70500
171120,라이온켐텍,KOSDAQ,20260811,2060,2075
172670,에이엘티,KOSDAQ,20260811,9550,9540
173130,오파스넷,KOSDAQ,20260811,5900,5990
173940,에프엔씨엔터,KOSDAQ,20260811,2300,2325
174900,앱클론,KOSDAQ,20260811,34700,34000
175140,아고스,KOSDAQ,20260811,2580,2625
175250,아이큐어,KOSDAQ,20260811,0,2170
176750,듀켐바이오,KOSDAQ,20260811,6690,6670
177350,베셀,KOSDAQ,20260811,0,695
177830,파버나인,KOSDAQ,20260811,2345,2390
177900,쓰리에이로직스,KOSDAQ,20260811,4100,4425
178320,서진시스템,KOSDAQ,20260811,36950,38300
178780,일월지엠엘,KOSDAQ,20260811,2090,2175
179290,엠아이텍,KOSDAQ,20260811,5300,5370
179530,애드바이오텍,KOSDAQ,20260811,2110,2010
179900,유티아이,KOSDAQ,20260811,2250,2130
180400,DXVX,KOSDAQ,20260811,2760,2745
182360,큐브엔터,KOSDAQ,20260811,6020,6210
182400,엔케이젠바이오텍코리아,KOSDAQ,20260811,0,3670
183300,코미코,KOSDAQ,20260811,0,54400
183490,엔지켐생명과학,KOSDAQ,20260811,0,990
184230,SGA솔루션즈,KOSDAQ,20260811,2005,2000
185490,아이진,KOSDAQ,20260811,1824,1950
186230,그린플러스,KOSDAQ,20260811,3370,3390
187220,디티앤씨,KOSDAQ,20260811,2130,2195
187270,신화콘텍,KOSDAQ,20260811,2890,2965
187420,HLB제넥스,KOSDAQ,20260811,1770,1988
187660,페니트리움바이오,KOSDAQ,20260811,4240,4410
187790,나노,KOSDAQ,20260811,3280,3395
187870,디바이스,KOSDAQ,20260811,12250,12520
188040,바이오포트,KOSDAQ,20260811,5160,5290
188260,세니젠,KOSDAQ,20260811,2105,2005
189300,인텔리안테크,KOSDAQ,20260811,78500,78500
189330,씨이랩,KOSDAQ,20260811,14660,16880
189690,포시에스,KOSDAQ,20260811,1550,1537
189860,서전기전,KOSDAQ,20260811,4380,4435
189980,흥국에프엔비,KOSDAQ,20260811,1135,1170
190510,나무가,KOSDAQ,20260811,14020,13870
190650,코리아에셋투자증권,KOSDAQ,20260811,6810,6810
191410,육일씨엔에쓰,KOSDAQ,20260811,1477,1420
191420,테고사이언스,KOSDAQ,20260811,7140,7530
192250,케이사인,KOSDAQ,20260811,8020,8040
192390,윈하이텍,KOSDAQ,20260811,1922,1847
192410,오늘이엔엠,KOSDAQ,20260811,4530,4400
192440,슈피겐코리아,KOSDAQ,20260811,29000,29350
193250,링크드,KOSDAQ,20260811,1599,1630
194480,데브시스터즈,KOSDAQ,20260811,22500,22000
194700,노바렉스,KOSDAQ,20260811,16860,16750
195500,마니커에프앤지,KOSDAQ,20260811,1713,1746
195940,HK이노엔,KOSDAQ,20260811,42100,42250
195990,루트K,KOSDAQ,20260811,1310,1394
196170,알테오젠,KOSDAQ,20260811,343000,327500
196300,HLB펩,KOSDAQ,20260811,4380,4500
196450,코아시아씨엠,KOSDAQ,20260811,950,940
196490,디에이테크놀로지,KOSDAQ,20260811,0,6090
196700,웹스,KOSDAQ,20260811,1380,1397
197140,디지캡,KOSDAQ,20260811,2085,2085
198080,캐프,KOSDAQ,20260811,2380,2380
198440,강동씨앤엘,KOSDAQ,20260811,1176,1354
198940,한주라이트메탈,KOSDAQ,20260811,1329,1345
199430,케이엔알시스템,KOSDAQ,20260811,14960,16670
199480,뱅크웨어글로벌,KOSDAQ,20260811,2840,3185
199550,레이저옵텍,KOSDAQ,20260811,2360,2435
199730,바이오인프라,KOSDAQ,20260811,1681,1794
199800,툴젠,KOSDAQ,20260811,39900,41950
199820,제일일렉트릭,KOSDAQ,20260811,7750,7760
200130,콜마비앤에이치,KOSDAQ,20260811,9740,10030
200230,텔콘RF제약,KOSDAQ,20260811,2445,2395
200350,아티스트스튜디오,KOSDAQ,20260811,2415,2485
200470,에이팩트,KOSDAQ,20260811,5350,5520
200670,휴메딕스,KOSDAQ,20260811,28000,28100
200710,에이디테크놀로지,KOSDAQ,20260811,29650,29950
200780,비씨월드제약,KOSDAQ,20260811,3180,3350
201490,미투온,KOSDAQ,20260811,2245,2275
203400,에이비온,KOSDAQ,20260811,995,980
203450,유니온바이오메트릭스,KOSDAQ,20260811,2475,2470
203650,드림시큐리티,KOSDAQ,20260811,2050,2090
204020,그리티,KOSDAQ,20260811,1821,1829
204270,제이앤티씨,KOSDAQ,20260811,15270,15350
204610,티쓰리,KOSDAQ,20260811,3400,3320
204620,글로벌텍스프리,KOSDAQ,20260811,5270,5630
204840,지엘팜텍,KOSDAQ,20260811,4415,4230
205100,엑셈,KOSDAQ,20260811,1401,1401
205470,휴마시스,KOSDAQ,20260811,2410,2610
205500,넥써쓰,KOSDAQ,20260811,1550,1585
206400,베노티앤알,KOSDAQ,20260811,898,858
206560,덱스터,KOSDAQ,20260811,0,1085
206640,바디텍메드,KOSDAQ,20260811,11160,11570
206650,유바이오로직스,KOSDAQ,20260811,9160,9120
207760,미스터블루,KOSDAQ,20260811,0,384
208140,정다운,KOSDAQ,20260811,2265,2290
208350,지란지교시큐리티,KOSDAQ,20260811,2700,2710
208370,셀바스헬스케어,KOSDAQ,20260811,2835,2850
208640,썸에이지,KOSDAQ,20260811,905,897
208710,포톤,KOSDAQ,20260811,2660,2800
208860,다산디엠씨,KOSDAQ,20260811,997,1000
209640,와이제이링크,KOSDAQ,20260811,3570,3630
210120,캔버스엔,KOSDAQ,20260811,0,930
211050,인카금융서비스,KOSDAQ,20260811,10600,10980
211270,AP위성,KOSDAQ,20260811,8430,8380
212560,네오오토,KOSDAQ,20260811,10650,10450
212710,아이에스티이,KOSDAQ,20260811,8130,8280
213420,덕산네오룩스,KOSDAQ,20260811,35950,36350
214150,클래시스,KOSDAQ,20260811,46350,46350
214180,헥토이노베이션,KOSDAQ,20260811,15220,15590
214260,라파스,KOSDAQ,20260811,9100,9000
214270,FSN,KOSDAQ,20260811,1473,1473
214370,케어젠,KOSDAQ,20260811,68500,66000
214430,아이쓰리시스템,KOSDAQ,20260811,74300,73100
214450,파마리서치,KOSDAQ,20260811,424000,417000
214610,롤링스톤,KOSDAQ,20260811,0,2290
214680,디알텍,KOSDAQ,20260811,829,831
215000,골프존,KOSDAQ,20260811,36600,37600
215090,솔디펜스,KOSDAQ,20260811,1436,1488
215100,로보로보,KOSDAQ,20260811,4320,4345
215200,메가스터디교육,KOSDAQ,20260811,39050,39050
215360,우리산업,KOSDAQ,20260811,6840,7190
215380,콜마바이오텍,KOSDAQ,20260811,2360,2360
215480,토박스코리아,KOSDAQ,20260811,2165,2110
215600,신라젠,KOSDAQ,20260811,2275,2315
215790,이노인스트루먼트,KOSDAQ,20260811,885,917
216050,인크로스,KOSDAQ,20260811,5130,5170
216080,제테마,KOSDAQ,20260811,4585,4540
217190,제너셈,KOSDAQ,20260811,5140,5410
217270,넵튠,KOSDAQ,20260811,2520,2605
217330,싸이토젠,KOSDAQ,20260811,3670,3675
217480,에스디생명공학,KOSDAQ,20260811,0,499
